Title,published_date,Views,Comments,Likes
Regularization Part 1: Ridge (L2) Regression,2018-09-24T16:59:00Z,1042113,1498,18883
Machine Learning Fundamentals: Bias and Variance,2018-09-17T16:00:42Z,1253260,1411,35284
"Maximum Likelihood For the Normal Distribution, step-by-step!!!",2018-09-10T15:00:12Z,532209,1374,14606
"The Central Limit Theorem, Clearly Explained!!!",2018-09-03T17:04:06Z,727209,1035,19162
Miss Carolina,2018-09-01T00:51:18Z,3928,21,80
"Maximum Likelihood for the Binomial Distribution, Clearly Explained!!!",2018-08-13T15:17:38Z,104092,203,2061
"The Binomial Distribution and Test, Clearly Explained!!!",2018-08-06T19:58:36Z,263457,531,6969
Happy Days,2018-08-02T01:40:27Z,3597,32,108
"Maximum Likelihood for the Exponential Distribution, Clearly Explained!!!",2018-07-30T15:18:07Z,191548,363,5294
"Logistic Regression in R, Clearly Explained!!!!",2018-07-26T10:58:24Z,504161,640,8554
Deviance Residuals,2018-07-16T16:26:47Z,85072,91,1211
Saturated Models and Deviance,2018-07-09T18:48:49Z,107136,195,1783
joe and sue,2018-07-01T12:30:00Z,2613,12,70
"Odds Ratios and Log(Odds Ratios), Clearly Explained!!!",2018-06-21T21:07:23Z,328564,453,6062
Logistic Regression Details Pt 3: R-squared and p-value,2018-06-18T18:38:47Z,275033,289,4588
Logistic Regression Details Pt 2: Maximum Likelihood,2018-06-11T17:48:12Z,436169,829,7165
Logistic Regression Details Pt1: Coefficients,2018-06-04T14:13:50Z,874468,789,13631
A War That We Can Win,2018-06-02T11:32:59Z,2831,53,83
StatQuest: K-means clustering,2018-05-23T20:18:55Z,1574819,1154,30781
"Odds and Log(Odds), Clearly Explained!!!",2018-05-07T17:30:36Z,337506,648,9775
Hey Dom,2018-04-28T19:15:50Z,3069,16,79
Machine Learning Fundamentals: Cross Validation,2018-04-24T18:37:54Z,1061666,1498,31523
StatQuest: A gentle introduction to ChIP-Seq,2018-04-16T20:12:28Z,143135,208,4008
"StatQuest: 10,000 Subscriber Milestone",2018-04-11T12:30:00Z,1103,35,85
StatQuest: PCA - Practical Tips,2018-04-09T14:13:54Z,160010,174,3549
"StatQuest: Principal Component Analysis (PCA), Step-by-Step",2018-04-02T20:06:10Z,2792383,4470,56921
Darling of Mine,2018-04-01T17:41:45Z,3806,21,143
Probability is not Likelihood. Find out why!!!,2018-03-09T19:38:43Z,1158828,1190,31120
StatQuest: Logistic Regression,2018-03-05T15:17:39Z,2113310,1169,37101
Sunday Best,2018-03-01T15:32:02Z,1032,3,22
StatQuest: Random Forests in R,2018-02-26T16:44:24Z,151363,400,2894
"StatQuest: Random Forests Part 1 - Building, Using and Evaluating",2018-02-05T15:55:40Z,1103861,1306,18618
Love Song,2018-01-29T15:18:45Z,3625,22,96
"StatQuest: Decision Trees, Part 2 - Feature Selection and Missing Data",2018-01-29T15:06:20Z,168442,158,3051
StatQuest: PCA in Python,2018-01-08T21:06:15Z,198004,399,4619
She Blinded Me With Science!!!,2018-01-01T13:14:47Z,6240,11,96
StatQuest: MDS and PCoA in R,2017-12-18T22:56:21Z,42081,43,530
StatQuest: MDS and PCoA,2017-12-11T15:41:29Z,183387,185,3293
StatQuest: PCA main ideas in only 5 minutes!!!,2017-12-04T20:18:06Z,1220152,719,24891
Snow,2017-11-29T13:35:13Z,1026,10,43
StatQuest: PCA in R,2017-11-27T14:35:50Z,274152,338,4168
"Quantile Normalization, Clearly Explained!!!",2017-11-20T10:51:06Z,70021,113,1656
"Quantile-Quantile Plots (QQ plots), Clearly Explained!!!",2017-11-13T13:09:12Z,507124,463,8299
"Quantiles and Percentiles, Clearly Explained!!!",2017-11-06T17:42:22Z,308763,250,5961
A Song For Only You,2017-10-31T04:00:01Z,957,7,36
"Multiple Regression in R, Step-by-Step!!!",2017-10-30T16:56:57Z,170885,207,3075
"Multiple Regression, Clearly Explained!!!",2017-10-30T16:52:41Z,537267,206,6035
"Sample Size and Effective Sample Size, Clearly Explained!!!",2017-10-23T19:41:10Z,106570,80,1576
The Difference Between Technical and Biological Replicates,2017-10-09T15:20:45Z,63490,67,1298
"The Normal Distribution, Clearly Explained!!!",2017-10-09T15:12:09Z,1344515,692,24624
"Design Matrix Examples in R, Clearly Explained!!!",2017-10-03T00:13:45Z,47687,77,752
Employee Of The Week,2017-10-01T15:25:44Z,2001,6,38
"StatQuest: Histograms, Clearly Explained",2017-09-25T13:38:28Z,648799,313,10972
"StatQuest: t-SNE, Clearly Explained",2017-09-18T14:55:30Z,446904,737,10842
I'm Alive,2017-09-02T20:00:12Z,1851,11,59
StatQuest: A gentle introduction to RNA-seq,2017-08-31T18:28:40Z,483014,540,10756
StatQuest: How to make a Mean Pizza Crust!!!,2017-08-31T18:07:09Z,8102,42,293
"Using Linear Models for t-tests and ANOVA, Clearly Explained!!!",2017-08-07T15:26:19Z,399801,394,5844
Brothers,2017-07-31T21:28:31Z,805,6,23
"Maximum Likelihood, clearly explained!!!",2017-07-31T17:26:45Z,1377371,1257,28554
"Linear Regression in R, Step-by-Step",2017-07-25T15:29:00Z,229144,239,4336
"Linear Regression, Clearly Explained!!!",2017-07-24T19:06:27Z,1340103,1554,22672
What is a (mathematical) model?,2017-07-17T15:31:28Z,200274,94,3927
Boxplots are Awesome!!!,2017-07-11T00:25:59Z,132163,97,2574
Your Dark Side,2017-07-01T14:39:57Z,1044,4,35
"StatQuest: K-nearest neighbors, Clearly Explained",2017-06-26T18:54:55Z,595542,434,11193
StatQuest: Hierarchical Clustering,2017-06-20T12:33:24Z,416509,351,8607
"Lowess and Loess, Clearly Explained!!!",2017-06-05T17:17:53Z,122806,189,2603
The Sum of Regrets,2017-05-31T22:10:10Z,840,15,29
The Main Ideas of Fitting a Line to Data (The Main Ideas of Least Squares and Linear Regression.),2017-05-22T20:37:28Z,632914,655,11362
"StatQuest: edgeR and DESeq2, part 2 - Independent Filtering",2017-05-16T13:15:19Z,48302,52,631
"Sampling from a Distribution, Clearly Explained!!!",2017-05-08T13:47:35Z,218455,105,3529
Evil Genius,2017-04-30T20:34:01Z,1520,6,35
StatQuest:  One or Two Tailed P-Values,2017-04-24T21:17:32Z,53952,57,981
The Main Ideas behind Probability Distributions,2017-04-17T17:55:46Z,398197,240,7564
"StatQuest: edgeR, part 1, Library Normalization",2017-04-03T16:19:36Z,40601,59,620
The Rainbow,2017-03-31T20:28:37Z,904,7,27
"StatQuest: DESeq2, part 1, Library Normalization",2017-03-27T16:06:30Z,96290,144,1522
"Standard Deviation vs Standard Error, Clearly Explained!!!",2017-03-20T15:03:59Z,489352,470,9806
Fisher's Exact Test and the Hypergeometric Distribution,2017-03-13T20:00:30Z,107186,113,1559
StatQuickie: Which t test to use,2017-03-06T19:51:38Z,47446,75,1168
Mr  Hattie,2017-02-27T23:19:48Z,859,7,28
Bar Charts Are Better than Pie Charts,2017-02-27T14:39:07Z,32284,32,759
"Logs (logarithms), Clearly Explained!!!",2017-02-23T17:12:08Z,127767,264,3346
StatQuickie: Thresholds for Significance,2017-02-22T16:20:16Z,32218,56,728
A New Song,2017-01-31T23:28:27Z,851,8,25
"False Discovery Rates, FDR, clearly explained",2017-01-10T13:40:32Z,205341,422,4302
Psycho Killer,2017-01-02T16:28:35Z,1594,16,52
The Coldest Day of the Year,2016-11-29T03:05:36Z,789,3,14
I Love You,2016-10-31T14:15:17Z,1506,13,42
p-hacking and power calculations,2016-10-11T17:46:29Z,43977,74,988
Roses,2016-10-01T16:24:14Z,412,7,12
Nasty Weather,2016-08-31T22:15:22Z,825,6,15
Maybe It'll Go Away,2016-07-26T07:40:57Z,1230,4,18
StatQuest: Linear Discriminant Analysis (LDA) clearly explained.,2016-07-10T21:36:51Z,732393,881,12734
Another Day,2016-07-01T01:43:12Z,473,1,8
Say Your Goodbyes,2016-05-30T14:01:13Z,1323,5,25
Deal With It,2016-05-01T16:43:18Z,1297,4,11
Rachel's Song (the ballad of Hazel Motes),2016-04-01T19:42:05Z,917,2,29
Drawing and Interpreting Heatmaps,2016-01-06T15:46:44Z,135674,131,2263
Christmas In Rio! (now on iTunes!),2015-12-05T17:11:39Z,15286,8,44
That's Alright,2015-09-30T01:06:29Z,9223,64,300
StatQuest: RNA-seq - the problem with technical replicates,2015-08-27T19:47:18Z,13404,32,254
Principal Component Analysis (PCA) clearly explained (2015),2015-08-13T17:37:04Z,1000445,1085,14430
"RPKM, FPKM and TPM, Clearly Explained!!!",2015-07-09T17:37:05Z,202092,168,2148
"Confidence Intervals, Clearly Explained!!!",2015-07-09T16:43:04Z,326709,331,6506
How to puree garlic,2015-07-01T01:37:00Z,30389,39,229
That Dude (in the movies),2015-06-21T19:44:08Z,2118,18,91
"The standard error, Clearly Explained!!!",2015-05-12T14:10:24Z,212409,258,4424
Wrapping up dumplings for pot stickers.,2015-04-19T21:18:04Z,9548,17,115
"R-squared, Clearly Explained!!!",2015-02-03T14:48:20Z,571447,709,12311
onion-dice,2014-09-28T16:12:29Z,11948,41,151
Cutting Butter,2014-08-24T21:40:26Z,17868,65,206
