Title,published_date,Views,Comments,Likes
First AI Software Engineer Devin By Cognition AI :(- Lag Gaye Bhai,2024-03-13T12:34:54Z,184248,626,3732
Complete Data Science And GenAI Playlist for 2024 With Free Videos And Materials,2024-03-12T12:54:29Z,24936,62,1297
End To End Multi Programming Code Assistant App Using CodeLlama LLAMA2 Large Language Model,2024-03-09T11:44:21Z,19778,51,602
What Is Asked In Interviews For Data Science With Genertaive AI Roles?,2024-03-08T15:49:59Z,21587,34,755
What Is a Good Data Science Project For Jobs?,2024-03-05T12:05:00Z,33052,48,1112
"Ollama-Run large language models Locally-Run Llama 2, Code Llama, and other models",2024-03-03T11:25:58Z,34372,55,657
The Era of 1-bit LLMs-All Large Language Models are in 1.58 Bits,2024-02-29T10:03:01Z,36479,63,687
"Part 2-LoRA,QLoRA Indepth Mathematical Intuition- Finetuning LLM Models",2024-02-27T10:48:47Z,18336,20,473
Data Science Projects For Resume,2024-02-26T14:42:06Z,28491,57,1252
Meet Gemma: Google's New Open-source AI Model- Step By Step FineTuning With Google Gemma With LoRA,2024-02-23T11:31:13Z,31486,78,708
Must Frameworks To Learn In Generative AI #langchain #llamaindex #chainlit #awsbedrock,2024-02-20T15:58:26Z,29507,45,694
Simplify LLMOps & Build LLM Pipeline in Minutes,2024-02-17T06:26:51Z,21834,30,383
"Part 1-Road To Learn Finetuning LLM With Custom Data-Quantization,LoRA,QLoRA Indepth Intuition",2024-02-15T11:04:30Z,31668,48,665
How AI Can Help You Improve Logic Building In Programming,2024-02-14T13:47:49Z,8991,24,346
How Generative AI Will Change All Of Our Jobs In 2024,2024-02-13T11:31:16Z,12035,59,329
Steps By Step Tutorial To Fine Tune LLAMA 2 With Custom Dataset Using LoRA And QLoRA Techniques,2024-02-11T11:31:45Z,75615,114,1818
How Meta Is Changing the future of Generative AI,2024-02-11T02:32:11Z,7645,24,296
80-20% Rule Of Learning Data Science Efficiently,2024-02-10T05:41:42Z,41378,46,1191
How to Learn Financial Analysis in Python 10x Faster,2024-02-07T12:45:37Z,14068,19,201
Self Motivation vs Derived Motivation,2024-02-07T02:12:32Z,4276,24,255
Resume Discussion To Crack Data Science Jobs With GenAI Skills #generativeai #resumes,2024-02-06T14:48:40Z,23969,17,398
Raw Morning Talk With Krish- Why Freshers Salaries are stagnant?,2024-02-06T02:34:11Z,6027,43,252
End To End Advanced RAG App Using AWS Bedrock And Langchain,2024-02-05T13:30:19Z,20107,33,428
Morning Talk With Krish- Will ML be replaced by Generative AI?,2024-02-05T02:15:51Z,21101,70,829
Generative AI In AWS-AWS Bedrock Crash Course #awsbedrock #genai,2024-02-04T13:18:48Z,40583,53,872
Race for the Future of Generative AI,2024-02-04T02:47:03Z,14071,73,671
End To End Youtube Video Transcribe Summarizer LLM App With Google Gemini Pro,2024-02-03T12:36:10Z,21569,37,531
In this Mass Layoff Becoming Recession proof-Is it Possible??,2024-02-03T02:47:19Z,33354,72,995
What Skillsets Takes You To Become a Pro Generative AI Engineer #genai,2024-02-02T12:58:00Z,43235,55,1313
Mass Layoff In 2024- What the Hell Is Happening?,2024-02-01T14:49:08Z,95903,357,1831
Earn With Open Source Contribution-Join the LlamaIndex Generative AI Challenge! #llamaindex #genai,2024-02-01T07:44:01Z,3712,8,156
Step-by-Step Guide to Building a RAG LLM App with LLamA2 and LLaMAindex,2024-01-31T13:31:11Z,45545,113,1308
Should You Build Generative AI models from scratch? #openai #claude #awsbedrock #genai,2024-01-31T09:08:16Z,8828,6,227
End to end RAG LLM App Using Llamaindex and OpenAI- Indexing and Querying Multiple pdf's,2024-01-29T16:31:17Z,47588,118,1370
Announcing LlamaIndex Gen AI Playlist- Llamaindex Vs Langchain Framework,2024-01-29T10:31:39Z,35688,54,1381
End to End Nutritionist Generative AI Doctor Using Google Gemini Pro Vision Large Image Models,2024-01-28T11:17:23Z,21723,55,521
Chai AI $500M Company Generative AI Startup- Future Of AGI And Generative AI,2024-01-27T03:30:04Z,25342,174,1083
A Python Package that makes Data Science 10x Faster,2024-01-25T04:08:09Z,54563,37,826
Is Machine Learning Still Relevant in 2024?,2024-01-23T14:12:10Z,43477,71,1085
Modified End To End Resume ATS Tracking LLM Project With Google Gemini Pro,2024-01-21T07:19:54Z,52675,116,573
Not Getting Any Interview Calls?-Avoid These Mistakes #jobs #atsresume,2024-01-20T10:17:10Z,46780,104,1797
"Different Ways Of Creating Python Environment In Data Science Projects- Conda,Virtualenv,Python",2024-01-19T08:59:50Z,27419,37,526
End To End Resume Application Tracking System(ATS)  Using Google Gemini Pro Vision LIM Model,2024-01-17T13:02:22Z,36463,115,991
Episode 1- Discussing Usecase Generative AI Integrated Real World Products Ft: @iNeuroniNtelligence,2024-01-15T07:11:37Z,8605,18,185
Why Dont Machine learning models have a secret 🤔 #genai #machinelearning,2024-01-15T05:57:24Z,35120,33,1740
Roadmap to Become Data Analyst in 2024 #shorts #dataanalyst #datasciencecourse,2024-01-14T08:12:35Z,13788,20,872
End To End Text To SQL LLM App Along With Querying SQL Database Using Google Gemini Pro,2024-01-13T17:57:05Z,46642,112,1361
Generative AI Google Gemini Pro Crash Course With End To End Projects,2024-01-12T03:22:07Z,40331,94,1736
Mind Blowing Student Support System By @iNeuroniNtelligence,2024-01-10T06:41:25Z,7401,63,245
Chat With Multiple PDF Documents With Langchain And Google Gemini Pro #genai #googlegemini,2024-01-09T06:37:38Z,60468,210,1353
Perfect Roadmap To Learn Data Science With Free Videos #freedatasciencecourse #shorts  #python,2024-01-06T15:38:45Z,15871,34,1364
Complete Roadmap To Become Data Analyst In 2024 With Videos And Materials,2024-01-05T13:02:54Z,61466,84,2009
"Complete Langchain GEN AI Crash Course With 6 End To End LLM Projects With OPENAI,LLAMA2,Gemini Pro",2024-01-03T03:46:04Z,87011,163,3390
How To Fine Tune  LLAMA2 LLM Models With Custom Data With Graident AI Cloud #generativeai #genai,2024-01-01T05:47:49Z,23133,43,614
Live Q&A- Happy New Year 2024,2023-12-31T15:52:00Z,4403,27,207
Roadmap to Learn Data Science & Industry Ready Projects In 2024 With Free Videos And Materials,2023-12-29T11:15:08Z,151631,201,5030
Programming Languages With Evergreen Huge Growth Scope In 2024,2023-12-28T05:57:33Z,11589,31,321
End To End Multi Language Invoice Extractor Project Using Google Gemini Pro Free LLM Model,2023-12-27T04:41:32Z,23879,67,1156
Step By Steps Tutorial To Create Conversational Q&A Chatbot Using Gemini Pro Free API,2023-12-25T12:03:32Z,47215,68,1164
Magic Of Generative AI And LLM Models Explained By AI,2023-12-24T04:20:57Z,7915,16,183
"Why You Should Learn About Generative AI, LLM's Models In 2024?",2023-12-23T14:05:13Z,20016,35,1036
Building End To End  LLM And Large Image Model Application Uing Gemini Pro Free Model-Google Is Pro,2023-12-22T10:40:31Z,37926,88,1135
Google Gemini Pro LLM Model Free API Demo With Code- Is It Better Than OpenAI GPT's?,2023-12-20T18:17:13Z,89781,88,1890
Different Text Summarization Techniques Using Langchain #generativeai,2023-12-19T15:01:25Z,31394,47,636
Complete MLOPS Platform To Build LLMs Application In PostgresML-Bring ML code to your Database,2023-12-18T14:51:44Z,23539,18,388
Power Of Open Source Contribution-50+ End To End Data Science Projects Contributed By You All,2023-12-17T12:32:34Z,25585,37,1029
"Build a PDF Document Question Answering LLM System With Langchain,Cassandra,Astra DB,Vector Database",2023-12-14T08:09:20Z,53395,66,803
End To End LLM Project Using LLAMA 2- Open Source LLM Model From Meta,2023-12-13T12:19:24Z,115409,256,3995
Roadmap to Learn Generative AI(LLM's) In 2024 With Free Videos And Materials- Krish Naik,2023-12-12T08:38:48Z,177250,104,6083
Can We Learn Generative AI Without Knowing Machine Learning And Deep Learning?,2023-12-10T08:14:54Z,33345,51,752
Using AI To Train AI,2023-12-08T14:52:37Z,17892,63,543
Google Is On Another Level- Check Out Gemini New AI Large Language Model(LLM)- Better Than GPT4,2023-12-07T08:51:26Z,66639,64,1106
Spitting Out some of the Important facts about money nobody will talk about #startups,2023-12-06T07:02:59Z,14588,65,718
End To End LLM Langchain Project using Pinecone Vector Database #genai,2023-12-05T04:08:58Z,45404,125,879
"Episode 1- AI News For This Week- ChatGPT 1 year,AGI, Q*,Stability AI,SDXL Turbo Text To Image Model",2023-12-04T06:30:19Z,8569,30,373
What is Project Q* And Artificial General Intelligence(AGI),2023-12-02T12:34:57Z,18148,65,726
Should you learn Data Science In 2024?,2023-11-30T06:59:56Z,46108,82,1006
Complete NLP Machine Learning In One Shot,2023-11-27T15:19:03Z,106159,91,2328
Open Source Contribution End to End Machine Learning Projects In 2024,2023-11-25T17:16:25Z,33835,38,883
My New Home Office Set Up- Recording set up,2023-11-20T13:41:47Z,9147,102,409
Reinforcement Learning In Progress @krishivnaikvlogs8998,2023-11-19T11:54:05Z,24052,,730
Future Of Data Science Project Development With OpenAI and Hugging Face API's,2023-11-17T14:02:02Z,18757,27,485
I Created An AI Guide Custom GPT To Guide And Prepare for Data Science Interviews,2023-11-15T12:52:09Z,13928,24,256
Pandas In Accelerated Mode-Use Pandas With GPU With Nvidia Rapids Cudf Library,2023-11-08T14:18:20Z,15013,24,339
"Amazing OpenAI Products announcements- GPT4 Turbo, GPT DevStore, Legal Compliances- OpenAI Dev Day",2023-11-07T16:24:32Z,8890,17,257
End To End LLM Conversational Q&A Chatbot With Deployment,2023-11-05T13:52:02Z,32791,31,491
Learn LangChain In 1 Hour With End To End LLM Project With Deployment In Huggingface Spaces,2023-11-02T11:27:00Z,70086,107,1712
Main factors of switching Companies- Why did i switch many companies?- Krish Naik,2023-11-01T13:38:21Z,8188,26,264
Live AI Quiz- Giveaway 5000 INR- Happy Halloween,2023-10-31T16:14:49Z,4647,5,228
Amazing Langchain Series With End To End Projects- Prerequisites To Start With,2023-10-27T12:22:16Z,80473,61,1446
Many People Have Forgetten This!,2023-10-24T15:24:19Z,10265,39,587
"Complete Data Science Resume Repository And Guide For ML engineers, Data analyst With 20+ Resumes",2023-10-20T16:04:44Z,37843,31,776
Raw Conversation-What Does Machine Learning Engineer do?,2023-10-17T14:27:20Z,11997,44,443
Live Q&A After Long Time- Krish Naik,2023-10-15T15:13:44Z,4728,17,301
"Complete ML,DL,NLP And Computer Vision Project Guide With Free Videos And Materials",2023-10-12T13:47:32Z,54399,76,1751
Complete Python Guide And 500+ Interview Questions And Solution With Usecases,2023-10-08T15:23:27Z,40031,62,1604
"Complete End to End Deep Learning Project With MLFLOW,DVC And Deployment",2023-10-06T15:40:57Z,59270,112,1302
3 Things To Improve To Crack Data Science Interview-Tips From Success Stories-Krish Naik,2023-10-05T15:29:35Z,15032,27,511
MLOPS-Machine Learning Production Grade Deployment Technqiues With MLOPS In One Shot,2023-10-03T10:36:56Z,14635,16,489
Mock Interviews For Data Science And Data Analyst,2023-10-02T12:44:44Z,16462,19,523
Complete Statistics Guide With Usecases and Scenario Based Interview Questions With Solutions,2023-09-30T17:37:48Z,14436,26,506
"Complete MySQL Guide-Interview Questions With Answers,Cheatsheet,Handwritten Notes Including Videos",2023-09-25T15:09:10Z,21165,35,583
"Complete Data Science And Data Analytics Guide-Cheatsheet,Handwritten Notes Including Videos",2023-09-21T15:06:03Z,94981,219,2960
Question Of The Decade? Is DSA Required For Data Science? #dsa #datascience,2023-09-18T04:53:00Z,31119,66,890
Benq Sent Me This Amazing Monitor For Coding|BenQ GW2790QT| Eye-Care Programming Monitor,2023-09-17T13:51:00Z,8384,21,120
"ML Series-Step By Step ML Project Implementation-EDA,FE,Feature Selection,Model Training #day10",2023-09-16T07:29:53Z,25824,44,646
"ML Series-Complete Ridge, Lasso & ElasticNet Machine Learning Algorithms Hand Written Notes #day10",2023-09-15T05:24:51Z,11127,14,186
The Most Common Mistakes While Applying Data Science Jobs,2023-09-13T14:05:01Z,11737,53,498
Do and Dont's Before Attending Data Science Interviews- Dont Make These Crucial Mistakes,2023-09-11T07:33:52Z,16707,47,744
Is Linkedin The Best Platform For Applying Data Science Jobs #datascience,2023-09-08T11:09:01Z,36764,9,1413
Importance of following process while learning data science #artificialintelligence #mlprojects,2023-09-07T09:16:04Z,10676,1,353
From Faculty to Data Science Thrilling Journey #mlprojects,2023-09-06T07:28:10Z,7997,6,232
This 8 minutes Story Will Change Your Life,2023-09-05T03:01:33Z,24805,218,1458
ML Series-Polynomial Regression Theory & Implementation Pipelines From Basic To Advanced#day9,2023-09-03T07:20:58Z,19351,27,392
Lets Celebrate-Launch of PSLV-C57/Aditya-L1 Mission,2023-09-02T06:44:54Z,4840,4,186
ML Series 2023-Simple & Multiple Linear Regression Implementation From Basic To Advanced#day8,2023-09-01T14:29:42Z,47532,44,932
Standout With Additional Skillsets In Data Science Interviews #ai #mlprojects #datascience #skills,2023-08-25T05:41:20Z,15140,2,671
How To Apply For Data Science Jobs? #mlprojects #datascience #machinelearning,2023-08-24T11:56:58Z,16432,7,743
48 Years Old Transition From Faculty To Data Science- Hear Our Kishor Sir Story @PWSkillsTech,2023-08-24T03:36:49Z,13470,31,283
Essential Guide To Data Science Self Study #shorts  #ai #datascience #mlprojects #transition,2023-08-23T07:35:18Z,22145,5,1109
Mastering Machine Learning Algorithms:The Secret Technique for Interview Success #ai #datascience,2023-08-22T13:24:58Z,10778,9,686
Evidently AI Tutorial-Open Source ML Models Monitoring and Observability,2023-08-21T11:22:35Z,14184,32,431
Is Transition From Mechanical Engineering To Data Science Possible? Shivam Transition Story Podcast,2023-08-18T14:12:41Z,15535,36,260
BentoML Tutorial: Build Production Grade AI Applications,2023-08-16T12:27:03Z,14741,39,438
Rohan Successful Transition-Freshers To MLOPS Lead With Equity @PWSkillsTech #datascience #ai,2023-08-14T14:17:41Z,10473,13,179
Projjal Transition Story To Data Science With 380% Hike,2023-08-11T15:26:47Z,16409,35,350
Tanisha Transition Story To Data Analytics Industry With 200% Hike,2023-08-03T11:52:28Z,30151,52,493
Tavishi Transition Story To Data Science With 6 Offers And  170% Hike,2023-07-30T13:57:37Z,79765,135,1595
End To End MLOPS Data Science Project Implementation With Deployment,2023-07-28T12:08:18Z,72759,99,1498
Data Versioning Hands On Tutorials With DVC For Data Science,2023-07-25T11:35:59Z,19780,25,474
The Power Of MLFLOW And Dagshub-Open Source Data Science Project Collaboration,2023-07-23T05:42:25Z,28434,29,736
Live- Discussing Recent Development In Generative AI,2023-07-21T14:32:59Z,7460,10,218
Will AI Eat Your Job After ChatGPT And Code Interpreter- What You Should Do?,2023-07-17T17:57:31Z,15278,85,461
The Power Of ChatGPT Plugins|Check This Powerful Demo,2023-07-15T04:06:11Z,7538,12,176
The Future Of Coding-Code Interpreter With Chatgpt- Its Time To Make AI Your Friend,2023-07-11T13:52:14Z,36242,87,664
What Will Change In Data Science Project Development After OPENAI And Hugging Face API,2023-07-10T08:40:59Z,20169,31,592
Why You Should Learn Python In 2023 And Focus On Project Development?,2023-07-06T13:45:16Z,16892,29,455
A Dedicated Playlist For End To End Data Science Projects Implementation With Deployment In 2023,2023-07-04T10:01:24Z,22928,41,673
The Power Of Function Calling Ussing OpenAI API Tutorial #2,2023-07-03T12:24:22Z,14937,24,251
OpenAI API With Python Tuorial 1-ChatCompletion API and Completion API,2023-06-30T13:17:43Z,48042,58,767
End To End Machine Learning Project Implementation Using AWS Sagemaker,2023-06-24T03:45:06Z,111935,98,1937
This Video Has Been Made By An AI With My Avatar- Future OF AI,2023-06-22T13:07:44Z,16488,53,521
Learn How Python Data Classes Can Save Your Time In Projects,2023-06-21T12:06:56Z,16652,32,540
Build Python LLM apps in minutes Using Chainlit ⚡️,2023-06-18T13:32:13Z,37836,32,774
How OpenAI Will Change the Future- Sharing My Experience After Using It,2023-06-16T16:13:54Z,12037,35,370
Learn How To Query Pdf using Langchain Open AI in 5 min,2023-06-16T06:51:10Z,77453,100,1281
Prompt Engineering And LLM's With LangChain In One Shot-Generative AI,2023-06-15T11:38:40Z,53123,46,843
Getting Started With LangChain In 20 Minutes- Build Celebrity Search Application,2023-06-13T16:07:37Z,98381,112,2592
An Important Advice-AI Is Advancing Just Start Learning AI Before Its Late,2023-06-11T10:56:24Z,31884,111,1234
What Is Generative AI,2023-06-10T14:20:55Z,76102,99,2282
Machine Learning Series-Linear Regression Ordinary Least Square Method,2023-06-09T13:12:20Z,24105,15,287
"Machine Learning Series- Revising Regression Performance Metrics,MSE,MAE,RMSE, R squared-Krish Naik",2023-06-08T11:51:41Z,25976,18,395
"Machine Learning Series- Revising Complete Linear Regression,Cost Function,Convergence Algorithm",2023-06-06T14:21:54Z,49976,48,954
Complete Anomaly Detection Tutorials Machine Learning And Its Types With Implementation | Krish Naik,2023-06-06T06:21:27Z,52792,39,992
End To End Deep Learning Project Using MLOPS DVC Pipeline With Deployments Azure And AWS- Krish Naik,2023-06-03T03:52:01Z,139713,272,2270
Aws Activate for Startups! #shorts,2023-06-01T07:15:32Z,15812,6,888
End To End NLP Project Implementation With Deployment Github Action- Text Summarization- Krish Naik,2023-05-28T04:36:03Z,151301,200,2546
"Very Good News For Startups- AWS Activate A Program to Support Startups, Founders, & Entrepreneurs",2023-05-27T11:50:19Z,40402,11,206
How Large Language Models (LLM) In Generative AI Are Trained ?,2023-05-26T10:39:34Z,42146,35,1022
Is Google Bard Better Than ChatGPT? You Decide By Seeing These Major Differences,2023-05-24T14:57:04Z,11049,32,252
All you Need To Know About Mojo Programming Language,2023-05-06T09:33:12Z,44557,72,987
Can ChatGPT Take A Company Down?,2023-05-03T12:47:58Z,13981,32,251
This Topic Is Most Important To Learn In Linear Algebra For Machine Learning #day4,2023-05-02T13:06:48Z,18409,19,346
Late Night Talks- Live Q&A- Lets See Who Are Awake,2023-04-29T18:31:52Z,7342,8,385
Machine Learning Series-Instance Based vs Model Based Learning#day3,2023-04-22T14:35:37Z,22297,69,576
Machine Learning Series- Demystifying Machine Learning Algorithms #Day2,2023-04-20T15:22:10Z,27015,75,734
Machine Learning Series- Universe of Data Science #Day1,2023-04-18T15:07:48Z,41287,92,1434
Announcing New Fresh Machine Learning And NLP Community Sessions,2023-04-17T12:41:47Z,66828,158,2128
Live After A Long Time- Lets Talk About Updates On Data Science,2023-04-15T14:59:43Z,7000,13,289
Tutorial 12- Step By Step Production Grade Machine Learning Projects Deployment Azure Web App MLOPS,2023-04-13T10:12:10Z,16679,21,247
Tutorial 11- How To Deploy End To End ML Projects In Production AWS Cloud Using CI CD Pipeline,2023-04-09T04:02:24Z,36663,55,735
Tutorial 10- Deployment Of ML Application In Azure Cloud Using Github Actions,2023-03-31T15:30:23Z,29182,54,1077
Complete Dockers For Data Science Tutorial In One Shot,2023-03-29T13:02:23Z,101951,77,2370
End To End Data Science Project Implementation In One Shot- Part 1,2023-03-26T05:25:20Z,95342,132,2477
Judging India's Largest Hackathon @physicswallah,2023-03-20T17:51:41Z,32186,20,859
Tutorial 9-End To End ML Project-Deployment In AWS Cloud Using CICD Pipelines,2023-03-18T15:54:18Z,50166,150,986
Tutorial 8-End To End ML Project-Create Prediction Pipeline Using Flask Web APP,2023-03-16T13:33:13Z,43604,111,789
